51.1304902 17.0780325 Toruńska 73, 51-414 Wrocław
49.468148 21.373868 Czarne 1, 38-307 Sękowa
49.58698 20.673359 Węgierska 168, 03-330 Nowy Sącz
49.285575 19.989106 Balzera 21d, 43-500 Zakopane
49.298239 19.959656 Tadeusza Kościuszki 18, 34-500 Zakopane
49.617348 20.716878 Al. Piłsudskiego 1, 33-300 Nowy Sącz
49.61731805 20.71697725 Al. Piłsudskiego 1, 33-100 Nowy Sącz
49.6253325 20.690625 Rynek 1, 33-300 Nowy Sącz
49.469391 20.001804 Ludźmierska 44, 34-400 Nowy Targ
50.087257 19.953461 Opolska 112, 31-355 Kraków
50.1848307 19.8083315 Ojcowska 21, 32-089 Czajowice
50.0812149 19.7740593 Aleksandrowice 130, 32-084 Aleksandrowice
50.07124329 19.89355469 Armii Krajowej 21A, 30-150 Kraków
50.06904221 19.97939491 Mogilska 122, 31-445 Kraków
50.04587936 19.97729492 Nowohucka 71, 33-332 Kraków
49.98469543 19.91225052 Zakopiańska 289, 30-435 Kraków
50.07511902 19.91026688 Kazimierza Wielkiego 121, 30-081 Kraków
50.07718277 19.94788933 Kamienna 18, 31-403 Kraków
50.01033401 20.01005554 Erazma Jerzmanowskiego 39, 30-836 Kraków
50.01772308 19.93224907 Zakopiańska 58D, 30-418 Kraków
50.0882225 20.00544357 os. Strusia 24, 31-807 Kraków
50.07889938 19.75838089 Morawica 285, 32-084 Morawica
49.84228516 19.9288063 Jana Sobieskiego 17C, 32-400 Myślenice
50.01712799 20.86192703 Wierzchosławice 852, 33-122 Wierzchosławice
49.32134247 19.985569 Ustup 1B, 34-500 Zakopane
50.16087341 19.44239807 Fabryczna 22, 32-540 Trzebinia
49.2912324 19.9822785 Pardałówka 3b, 34-500 Zakopane
50.042584 19.202185 Powstańców Śląskich 13, 32-600 Oświęcim
50.01405 19.931312 ul. Zakopiańska 62, 30-418 Kraków
49.425475 20.952345 Park Sportowy Imienia Juliana Zawadowskiego 4, 33-380 Krynica-Zdrój
49.98808698 19.44100767 Parkowa 2, 32-640 Zator
50.094868 19.950968 Siewna 30A/B szlaban 511471634, 31-231 Kraków
50.0627605 19.9021971 Piastowska 18, 30-065 Kraków
50.027668 19.788635 Piekary 363, 32-060 Piekary
49.421994 20.954687 Piękna 23, 33-380 Krynica-Zdrój
50.0555377 19.9319086 plac Na Groblach 24, 31-101 Kraków
50.140855 19.861931 Plac Wspólnoty 1, 32-089 Szyce
49.3004786 19.9861829 Podhalańska 70, 34-500 Zakopane
50.074278 19.998909 Aleja Jana Pawła II 43, 31-000 Kraków
50.0170605 20.1689297 Podłęże 168, 32-003 Podłęże
50.0188322 20.1691872 Podłęże 247A, 32-003 Podłęże
49.375139 20.009889 Jana Pawła II 250, 34-425 Biały Dunajec
50.04519684 19.99742833 Myśliwska 68, 30-718 Kraków
50.04570236 19.97127789 Klimeckiego 1, 30-705 Kraków
50.10210352 19.92870224 Glogera 24, 31-222 Kraków
49.723417 20.323417 Polna 354, 34-650 Tymbark
49.9657895 19.8993169 Myślenicka 7, 32-031 Gaj
50.0913579 19.9188479 Władysława Łokietka 83, 31-280 Kraków
50.037028 19.948083 aleja Powstańców Śląskich 22, 30-570 Kraków
50.047544 19.914247 Praska 34 A i B, 30-328 Kraków
50.1075916 19.8486891 profesora Adama Rożańskiego 28, 32-089 Modlniczka
49.9946594 20.4317161 Proszowska 123, 32-742 Bochnia
50.0643392 19.9661238 Pułkownika Francesco Nullo 28, 31-543 Kraków
50.130965 19.635831 Kolejowa 0, 32-065 Krzeszowice
50.130965 19.635831 Kolejowa 0, 32-065 Krzeszowice
50.07198 19.928588 Kościelna 1, 30-034 Kraków
50.03353 19.81264 Kryspinów 502, 32-060 Kryspinów
49.44099059 19.85390961 Rynek 15, 34-470 Czarny Dunajec
49.982461 19.42159 SCANDINAVIA RESORT, Stawowa 11 _, 32-640 Zator
49.998685 19.919157 SEAT INTER CAR NOWAK, Zakopiańska 167 _, 30-435 Kraków
50.0696168 19.9877982 Lema 17, 31-572 Kraków
50.063117 19.9079465 Aleja 3 Maja 51A, 30-062 Kraków
49.834551 19.948633 Słoneczna 2D, 32-400 Myślenice
49.9856 20.04641 Kościuszki 15, 32-020 Wieliczka
49.3886037 20.1019929 Środkowa 182, 34-405 Białka Tatrzańska
50.081062 19.873861 Balicka 84, 30-149 Kraków
50.011756 21.028151 Lwowska 199A, 33-100 Tarnów
50.1712 19.472465 Piłsudskiego 103, 32-540 Trzebinia
49.9885604 20.0161488 Marszałka Józefa Piłsudzkiego 18 -, 32-020 Wieliczka
49.9885604 20.0161488 Marszałka Józefa Piłsudzkiego 18 -, 32-020 Wieliczka
50.069575 21.019308 Lisia 1, 33-140 Brzozówka
49.6475526 19.8866083 Naprawa 574 -, 34-240 Jordanów
49.8805333 20.1493198 Stadniki 145, 32-410 Stadniki
50.07836 19.894219 Stańczyka 5, 33-332 Kraków
50.0109659 20.2063197 Staniątki 253, 32-005 Staniątki
50.0290734 19.9092016 Stefana Grota-Roweckiego 28, 30-348 Kraków
49.6999472 19.5602049 Straszywa 667, 34-205 Stryszawa
49.2991375 19.9587674 Tadeusza Kościuszki 19, 34-500 Zakopane
50.03523 21.00617 Błonie 5, 33-100 Tarnów
49.655475 20.689496 Tarnowska 159, 33-395 Nowy Sącz
50.086158 19.992295 Bora-Komorowskiego -, 31-876 Kraków
49.980383 20.909215 Krakowska -, 33-113 Zgłobice
49.608454 19.956602 Orkana 41, 34-700 Rabka Zdrój
50.138479 19.888426 Władysława Hermana 18, 32-085 Giebułtów
50.137244 19.423546 Szpitalna 45 _, 32-500 Chrzanów
50.117917 19.920643 Krakowskie Przedmieście 116, 32-067 Zielonki
50.076946 19.946428 Aleja 29 Listopada 22, 30-001 Kraków
50.089056 19.946228 Opolska 100, 31-323 Kraków
49.8678703 19.4087162 Wadowicka 167, 34-120 Inwałd
49.5866601 20.6725395 Węgierska 170, 33-300 Nowy Sącz
50.116678 19.968414 A10 56, 32-086 Węgrzce
49.8756103 19.5132904 Wenecja 11, 34-100 Wadowice
50.0398658 19.9647507 Wielicka 28, 30-552 Kraków
49.430889 20.812111 Wierchomla Mała 42, 33-350 Wierchomla Mała
49.2897829 19.9551743 Grunwaldzka 11, 34-500 Zakopane
49.2793188 19.8588141 Witów 322, 34-512 Witów
50.301819 19.492584 Kluczewska 87, 32-329 Bolesław
50.08345528 19.9295232 Wybickiego 3A, 31-261 Kraków
49.748922 19.971339 Pcim 1180 _, 32-432 Pcim
49.9981256 19.9197877 Zakopiańska 169A, 32-020 Kraków
50.0077788 19.9246299 Zawiła 3, 30-435 Kraków
50.0080196 19.8989387 Zawiła 61, 30-390 Kraków
49.419449 20.320443 Widokowa 3, 34-441 Niedzica
50.1194494 19.9284485 Galicyjska 21, 32-087 Zielonki
52.55299 19.69441 Przemysłowa 1, 09-400 Płock
53.053486 21.529197 Warszawska 1, 07-415 Olszewo-Borki
52.550631 19.676749 Kobylińskiego 29, 09-400 Płock
52.2475334 20.979433 Okopowa 58/72, 01-042 Warszawa
52.148896 21.045004 Aleja Komisji Edukacji Narodowej 61, 02-777 Warszawa
52.1421984 20.9065234 Aleja Krakowska 5A, 05-090 Falenty
52.20917913 21.00953795 Aleja Niepodległości 162, 02-521 Warszawa
52.20901144 21.00811362 Aleja Niepodległości 162, 02-521 Warszawa
52.1743749 21.0498563 Aleja Wilanowska 122, 02-900 Warszawa
52.1522062 20.7912304 Aleja Wojska Polskiego 127, 05-800 Pruszków
52.190195 21.528856 Warszawska 63A 63A, 05-303 Stojadła
51.391192 21.154314 Księcia Józefa Poniatowskiego 1, 26-600 Radom
51.412509 21.130994 Stanisława Wernera 52, 26-601 Radom
52.2575923 20.9828601 al. Jana Pawła II 82, 00-175 Warszawa
52.23089 21.10512 Ostrobramska 75C, 04-175 Warszawa
52.213096 20.951989 Aleje Jerozolimskie 148, 02-326 Warszawa
52.303694 21.058305 Głębocka 15, 00-001 Warszawa
52.29465 21.000062 Modlińska 8, 03-216 Warszawa
52.096662 21.021319 Puławska 46, 05-500 Piaseczno
52.536345 19.749637 Wyszogrodzka 140, 09-410 Płock
52.291139 21.077652 Radzymińska 267, 03-643 Warszawa
52.114697 20.859459 Aleja Katowicka 43, 05-870 Wolica
51.38312525 21.16438626 Juliana Ursyna Niemcewicza 2/4, 26-611 Radom
52.122625 21.012391 AUTO BLAK Farbiarska 25, Warszawa _, 02-862 Czynne: pn.- pt. 7.00 - 20.00, sob. 7.00-13.0
52.18056 20.887959 Al. Jerozolimskie 249B _, 05-816 Michałowice
52.538192 19.738038 ul. Wyszogrodzka 114 _, 09-410 Płock
52.533801 19.763116 ul. Wyszogrodzka 154 _, 09-410 Płock
52.212314 20.690106 VW BENEPOL Zaborowska 1, Święcice _, 05-860 Czynne: pn.- sob. 6.00-22.00
51.6433423 20.9581674 Krakowska 88, 26-800 Białobrzegi
51.976466 21.215337 Jagiellonów 8, 56-200 Góra
52.3748765 20.9243674 Parkowa 2, 05-110 Jabłonna
52.5272203 21.6816215 Lubelska 98-100, 21-100 Lubartów
52.693394 22.049685 ul. Biegańskiego 74/7, 07-320 Małkinia Górna
52.58880225 20.81273661 Elektronowa 3, 05-190 Nasielsk
51.4363792 21.0079201 Natalin 46B, 26-652 Natalin
52.55355447 19.70881531 Chopina 51, 09-402 Płock
52.634581 20.363309 Młodzieżowa 28h, 09-100 Płońsk
51.4069674 21.1188446 Wandy Malczewskiej 9, 26-601 Radom
51.3923148 21.1239946 Maratońska 23, 26-612 Radom
52.3999838 21.1687388 Al. Jana Pawła II 66, 05-250 Radzymin
52.1853 22.2736 Mieszka I 23, 08-119 Siedlce
52.3465387 21.255947 Kościelna 56G, 05-200 Wołomin
52.3906817 20.1877875 Mickiewicza 16, 09-450 Wyszogród
51.355925 21.589657 Wyszyńskiego 8, 26-700 Zwoleń
52.240843 21.026322 Leszczyńska 2B, 00-351 Warszawa
52.216185 20.857882 Poznańska 46, 05-850 Jawczyce
52.216185 20.857892 Poznańska 46, 05-850 Jawczyce
52.185386 21.002943 Wołoska 22A, 02-675 Warszawa
51.991328 20.5445088 Boczna 18, 96-325 Radziejowice-Parcel
52.1681105 21.0009678 Bokserska 55, 02-690 Warszawa
52.14004 21.052096 Braci Wagów 7, 02-791 Warszawa
52.153116 21.0931448 Europejska 125, 02-964 Warszawa
52.601502 21.439753 Piłsudskiego 48, 07-200 Wyszków
52.235408 20.986765 Grzybowska 58, 00-844 Warszawa
52.235344 20.986788 Grzybowska 58, 00-844 Warszawa
52.3231624 20.8964294 Brukowa 46, 05-092 Łomianki
52.1494053 22.3053143 Brzeska 181, 08-110 Siedlce
52.1500253 22.3060964 Brzeska 181, 08-110 Siedlce
52.18931 20.98437 Żwirki i Wigury 18, 02-092 Warszawa
52.1904376 20.9824321 ul. Żwirki i Wigury 18, 02-092 Warszawa
52.18931 20.98437 ul.Żwirki i Wigury 18, 02-092 Warszawa
52.22997 21.023825 ul. Książęca 4, 00-498 Warszawa
52.13588 20.894165 Mszczonowska 3, 05-090 Janki
52.305124 21.087741 al. Marszałka Józefa Piłsudskiego 1, 05-270 Marki
52.0586264 20.8628634 Nadrzeczna 16, 05-552 Wólka Kosowska
52.23540772 20.98250504 Chłodna 51, 00-105 Warszawa
52.2277454 20.9924931 Chmielna 132/134, 00-805 Warszawa
52.195028 20.937306 Równoległa 2, 02-235 Warszawa
52.22042699 20.91597405 Połczyńska 30, 01-337 Warszawa
52.20607 20.8908255 Cykady 2, 02-401 Warszawa
51.2642391 20.9351455 Czerwienica 25, 26-502 Jastrząb
52.234609 21.09295 Ostrobramska 97, 04-118 Warszawa
52.309809 21.080608 Geodezyjna 76, 03-290 Warszawa
52.0878772 21.0209384 Puławska 42E, 05-500 Piaseczno
52.39053235 20.92122835 Jerzego Siwińskiego 2, 05-120 Legionowo
52.1845173 21.0120911 Domaniewska 30, 02-669 Warszawa
52.22882 21.00287 Al.Jerozolimskie 54 54, 00-019 Warszawa
52.233663 21.129241 SEAT, VW DYNAMICA, Płowiecka 17, Warszawa _, 04-501 Czynne: pn.- pt. 6.00 - 20.00, sob. 8.00 -12.
51.357147 20.633858 Radomska 16d, 26-400 Przysucha
52.17814 20.99689 Postępu 14, 02-676 Warszawa
52.24014 21.027067 Dobra 42, 00-351 Warszawa
52.22731781 20.96192932 Marcina Kasprzaka 25, 01-224 Warszawa
52.52955627 19.77563858 Harcerska 2, 09-410 Płock
52.54877853 19.71827888 Otolińska 17F, 09-407 Płock
52.53852844 19.73238945 Wyszogrodzka 106, 09-400 Płock
52.54033279 19.75113869 Łączniczek 14, 09-410 Płock
52.55947113 19.68377876 Plac Celebry Papieskiej 1, 09-400 Płock
52.52999878 19.75102806 Al. Świętego Jerzego 1, 09-410 Płock
52.54394531 19.7242775 Faustyna Piaska 6, 09-407 Płock
52.54463959 19.71088982 Piłsudskiego 6, 09-400 Płock
52.53811264 19.70013809 Warszawska 8, 09-402 Płock
52.54727936 19.69005585 Królewiecka 3, 09-400 Płock
52.54030609 19.75724983 Gen. Tadeusza Kutrzeby 2, 09-410 Płock
52.53427887 19.75027847 Czwartaków 6, 09-410 Płock
52.55669403 19.65225029 Medyczna 19, 09-400 Płock
52.57088852 19.72644424 Bielska 66, 09-400 Płock
52.5423317 19.69436073 Plac Obrońców Warszawy 8, 09-402 Płock
52.53025055 19.68180656 Kolejowa 10, 09-401 Płock
52.54138947 19.6867218 Rybaki 10, 09-401 Płock
52.55169296 19.67691612 Kobylińskiego 30, 09-400 Płock
52.5537796 19.68430519 Tysiąclecia 13, 09-400 Płock
52.55333328 19.68738937 Tysiąclecia 7, 09-400 Płock
52.49516678 19.68002892 Browarna 6, 09-401 Płock
52.54700089 19.68547249 Kwiatka 51, 09-400 Płock
52.54983139 19.69802856 Jana Kochanowskiego 3-1, 09-402 Płock
52.169029 22.2876549 Eugeniusza Wiszniewskiego 4, 08-110 Siedlce
52.2214848 20.9747105 Al. Jerozolimskie 134, 02-305 Warszawa
52.1489714 21.0446763 Indiry Gandhi -, 02-722 Warszawa
52.2245617 20.9627902 Ignacego Prądzyńskiego 12/14, 01-222 Warszawa
52.232228 20.990701 Żelazna 51/53, 00-841 Warszawa
52.553643 19.694229 Tysiaclecia 2a _, 09-400 Płock
52.21488 20.861442 Wspólna Droga 1, 05-850 Mory
52.1850826 20.9875399 Suwak 7b, 02-676 Warszawa
52.26444 20.93254 Powstańców Śląskich 126, 01-466 Warszawa
52.108 21.2596 Kupiecka 2, 05-400 Otwock
52.324259 20.901055 Brukowa 25, 05-092 Łomianki
52.296124 20.931026 Zgrupowania AK "Kampinos" 15, 01-943 Warszawa
52.179694 21.004917 Wołoska 12, 02-675 Warszawa
52.3174511 20.966983 Światowida 17, 03-144 Warszawa
52.2544719 21.0359436 Targowa 72, 03-734 Warszawa
52.595281 21.451531 Generała Józefa Sowińskiego 62, 07-200 Wyszków
52.080242 21.033422 Armii Krajowej 22 _, 05-500 Piaseczno
52.119403 21.102829 Drewny 24 _, 02-968 Warszawa
53.076148 21.576782 Generala Augusta Emila Fieldorfa "Nila" 28, 07-410 Ostrołęka
52.3981217 20.9230341 Generała Józefa Sowińskiego -, 05-120 Legionowo
52.4056386 21.3327287 Gen. Fr. Żymirskiego 38, 05-205 Klembów
51.598047 21.528096 Warszawska brak, 26-900 Kozienice
51.597016 21.530043 Warszawska brak, 26-900 Kozienice
52.586879 20.812658 Elektronowa 3, 05-190 Nasielsk
52.70582602 21.09148926 Rynek 41, 06-100 Pułtusk
52.090858 20.9362085 Gminna 66, 05-506 Lesznowola
52.2432828 21.0967668 Grochowska 163, 04-111 Warszawa
52.111556 20.621148 Traugutta 19, 05-825 Grodzisk Mazowiecki
52.2340315 20.9895712 Grzybowska 49, 00-844 Warszawa
51.867755 21.64402 Bitumiczna 2, 08-400 Sulbiny Górne
52.226156 21.042199 Zagórna 1,1A, 00-441 Warszawa
52.18546222 21.00280366 Wołoska 24, 02-675 Warszawa
52.132379 20.89531 Plac Szwedzki 3, 05-090 Janki
52.304238 21.084364 Malborska 51, 03-286 Targówek
52.256528 20.993361 Inflancka 4a, 00-189 Warszawa
52.484194 20.967361 Jachranka 77, 05-140 Jachranka
52.2719409 21.0134384 Jagiellońska 57, 03-301 Warszawa
52.109722 20.994167 Karczunkowska 145, 02-871 Warszawa
52.2900569 20.9313393 Kasprowicza 119, 01-949 Warszawa
52.2904319 20.9274761 Kasprowicza 145, 01-823 Warszawa
52.1696519 22.272585 Katedralna 5, 08-110 Siedlce
52.231483 20.895163 Batalionów Chłopskich 73, 01-374 Warszawa
52.08175389 21.02705647 Okulickiego 10, 05-500 Piaseczno
52.19065994 20.85491004 Warszawska 1, 05-820 Piastów
52.5592904 19.6797323 Konstantego Ildefonsa Gałczyńskiego 11, 09-400 Płock
52.1672029 22.2739719 Kazimierza Pułaskiego 61, 08-110 Siedlce
51.381232 21.18148 Juliusza Słowackiego 179, 26-604 Radom
51.410313 21.177461 Andrzeja Struga 73, 26-610 Radom
52.342647 21.225671 Kobyłkowska 1A, 05-250 Wołomin
51.354644 20.822944 Kochanowskiego 1, 26-432 Zawady
52.18255 20.9656239 Komitetu Obrony Robotników 45B, 02-146 Warszawa
52.43476639 21.04154624 Aleja Wojska Polskiego 3, 05-126 Nieporęt
52.181781 21.558745 Kościuszki 2, 05-303 Mińsk Mazowiecki
52.22219954 21.01101867 Koszykowa 61/63, 00-067 Warszawa
52.47645382 21.63515374 Jana Pawła II 17, 05-280 Jadów
52.353043 22.617241 ks. Stanisława Brzóski 18, 08-108 Korczew
52.302525 20.930012 Książąt Mazowieckich 5, 01-990 Warszawa
52.39715726 19.90967041 Leonów 7a, 09-533 Słubice
52.537139 19.7395 Trasa Popiełuszki 2, 09-410 Płock
52.2030618 20.5575745 Piorunów 21, 05-870 Piorunów
52.2037356 20.5582257 Piorunów 21, 05-870 Piorunów
51.8981585 21.6015493 Cmentarna 5, 08-400 Garwolin
52.0984733 21.1160097 1000-lecia Państwa Polskiego 2, 05-510 Konstancin Jeziorna
52.0838333 20.9572197 Słoneczna 178, 05-506 Lesznowola
52.6817404 22.2746112 Wodociągowa -, 18-100 Łapy
51.3915771 21.138523 1905 Roku 26, 26-610 Radom
51.4024109 21.1155286 Główna 69, 26-600 Radom
51.374542 21.1235289 Wierzbicka 94, 26-612 Radom
52.49802108 21.05491685 Warszawska 66, 05-140 Serock
52.2300277 21.08168 Jana Nowaka-Jeziorańskiego 35, 03-982 Warszawa
52.17357968 20.93925474 Aleja Krakowska 79, 02-183 Warszawa
52.3040348 20.9873607 Modlińska 35, 03-199 Warszawa
52.2227833 21.1358097 Trakt Lubelski 367, 04-667 Warszawa
52.1644512 21.1051712 Zygmunta Vogla 45, 02-990 Warszawa
52.25260578 21.06497526 Żupnicza 15, 03-821 Warszawa
52.3009079 21.1517686 Prymasa Stefana Wyszyńskiego 33a, 05-220 Zielonka
52.1718 20.977631 ul. Żwirki i Wigury 1 Lotnisko Chopina, 02-143 Warszawa
52.1090019 21.0175357 Puławska 540, 02-684 Warszawa
52.28635 21.084195 Łodygowa 24, 03-687 Warszawa
52.1927067 20.9508236 Łopuszańska 22, 02-220 Warszawa
52.1948859 20.937905 Łopuszańska 72, 02-232 Warszawa
52.1944634 20.9382612 Łopuszańska 72, 02-232 Warszawa
52.652743 20.429558 Wieś Koziminy-Stachowo 1 A, 09-100 Płońsk
52.1368244 22.292376 Łukowska 111, 08-110 Białka
52.1337634 22.2932636 Łukowska 113, 08-110 Siedlce
51.380962 21.169371 Aleja Józefa Grzecznarowskiego 28, 26-600 Radom
52.201093 20.9331138 Al.Jerozolimskie 184, 02-486 Warszawa
52.3007768 20.9351604 Kolumbijska 1, 01-991 Warszawa
52.3041037 21.0919603 al.gen.Władysława Andersa 545, 05-091 Ząbki
52.30458865 21.07957501 Malborska 41, 03-286 Warszawa
52.58904 20.452678 Dalanówek 43A, 09-100 Dalanówek
52.333003 21.12643 Wspólna 40, 05-270 Marki
52.319385 21.00858 Marywilska 44, 03-042 Warszawa
52.321747 21.007189 Marywilska 44, 03-042 Warszawa
52.3145263 20.9993148 Marywilska 51, 03-042 Warszawa
52.290638 21.121425 Słowackiego 21, 05-091 Ząbki
52.1755306 20.9372205 Mineralna 5, 02-285 Warszawa
52.3775 20.918333 Modlińska 152, 05-110 Jabłonna
52.1781645 21.0164468 Modra 90, 02-661 Warszawa
52.057231 21.393033 Św. Kazimierza 7, 05-430 Celestynów
52.1630208 22.2476789 Monte Cassino 40, 08-110 Siedlce
52.2134695 21.1582984 Mrówcza 218, 04-697 Warszawa
52.212278 20.948083 Mszczonowska 5, 02-337 Warszawa
52.22512 20.26852 Wojtówka 2d, 96-500 Sochaczew
51.2303374 20.8652365 Jastrzębska 21B, 26-500 Szydłowiec
52.184963 21.132115 Heliotropów 59, 04-796 Warszawa
52.10132865 20.80488237 Pruszkowska 38, 05-830 Nadarzyn
52.15247 21.01064 Tango 4, 02-825 Warszawa
52.56289 19.708601 Bielska 67, 09-400 Płock
52.233435 21.123719 Lotnicza 3/5, 04-192 Warszawa
51.448802 21.144033 ul. Warszawska 220 _, 26-600 Radom
52.063015 20.264855 Nowa Wieś 31, 96-315 96-315 Wiskitki
52.4230274 20.7275683 Morawicza 2, 05-100 Nowy Dwór Morawicza
52.2559122 20.9786725 Burakowska 14, 01-066 Warszawa
52.163733 21.083435 Royal Wilanów, ul. Klimczaka 1 Warszawa _, 02-797 KLIENCI ZAREJESTROWANI KORZYSTAJĄ Z NIŻSZYCH
52.17057337 20.93484659 Aleja Krakowska 61, 02-183 Warszawa
52.421618 20.9256639 Olszankowa 52, 05-120 Legionowo
52.2426171 21.0968025 Omulewska 26A, 04-128 Warszawa
52.13678 21.059987 Przy Bażantarni 10, 02-793 Warszawa
52.223476 20.984095 Aleje Jerozolimskie 160, 02-326 Warszawa
52.5755806 19.65676308 Chemików 7, 09-411 Płock
52.17260742 20.97409821 Żwirki i Wigury 1H, 00-906 Warszawa
52.57959366 19.65560722 Chemików 7, 09-411 Płock
52.58649445 19.65037537 Chemików 7, 09-411 Płock
51.86877441 20.8517971 Mszczonowska 44, 05-600 Grójec
52.11202621 20.46686172 MOP Baranów Północ A2, 96-314 Holendry Baranowskie
52.03961563 20.69740486 Przeszkoda 17, 96-321 Przeszkoda
52.02857971 20.67483711 Warszawska -, 96-321 Huta Żabiowolska
52.53380966 19.76083755 Wyszogrodzka 150, 09-411 Płock
52.61397171 20.38602829 Warszawska 78A, 09-100 Płońsk
51.41038132 21.18352509 Struga 102, 26-600 Radom
52.17130661 22.21863937 Topolowa 3, 08-103 Stare Iganie
51.62023926 20.97414017 Radomska 18, 26-800 Sucha
52.2591629 20.95947075 Powązkowska 43, 01-797 Warszawa
52.15736008 21.02099991 Wawrzyńca Surowieckiego 14, 02-784 Warszawa
52.23661041 21.0878067 Ostrobramska 124, 04-026 Warszawa
52.25058746 21.06585884 Chodakowska 35, 03-816 Warszawa
52.22383118 21.05938911 Wersalska 3, 03-955 Warszawa
52.23862076 20.98301125 Aleja Solidarności 100, 01-016 Warszawa
52.23913956 20.89705658 Lazurowa 40, 01-315 Warszawa
52.22555542 20.9584713 Aleja Prymasa Tysiąclecia 52, 01-242 Warszawa
52.14819336 21.05924988 Migdałowa 2, 02-796 Warszawa
52.29244232 21.07900047 Radzymińska 283, 03-643 Warszawa
52.24564743 21.00563622 Bielańska 12, 00-085 Warszawa
52.37416501 20.78043151 Gdańska 60, 05-152 Czosnów
52.133306 21.240444 Sikorskiego 127B, 05-420 Józefów
52.56207052 21.7164174 Aleja Łochowska 4/1 działka 2052/31, 07-130 Łochów
52.31358 21.01331 ANNOPOL 20, 03-236 WARSZAWA
52.026808 21.11971 Łubna 69, 05-532 Łubna
52.4303264 19.4557603 Zamkowa 29A, 09-500 Gostynin
52.187164 20.987897 Konstruktorska 12, 02-673 Warszawa
51.955129 21.5351286 Dworcowa 5, 08-440 Pilawa
52.18212069 20.83986553 Księcia Józefa Poniatowskiego brak, 05-819 Piastów
52.1127706 20.6236658 Żydowska 11, 05-825 Grodzisk Mazowiecki
52.091516 20.7999429 Graniczna 3-5, 05-830 Nadarzyn
52.53727328 19.75557336 Wyszogrodzka 133, 09-410 Płock
52.2237099 21.0192839 Piękna 20, 00-549 Warszawa
52.13601044 20.89830174 plac Szwedzki 3, 05-090 Janki
52.229708 21.0233264 plac Trzech Krzyży 10/14, 00-535 Warszawa
51.86674 20.865499 plac Wolności 4, 05-600 Grójec
52.1623764 22.2724414 plac Zdanowskiego 1, 08-110 Siedlce
52.4362455 19.468497 Płocka 34A, 09-500 Gostynin
52.80231 21.894535 Pocztowa 1, 07-300 Ostrów Mazowiecka
51.432596 21.322509 Radomska 49, 26-630 Jedlnia-Letnisko
52.300676 21.027322 Annopol 2, 03-236 Warszawa
52.20225 20.8946 Plac Czerwca 1976r. 6, 02-495 Warszawa
52.2266 21.018668 Krucza 24, 00-526 Warszawa
52.193413 20.929295 Jutrzenki 114, 02-230 Warszawa
52.1054061 21.0227434 Kuropatwy 41, 05-500 Mysiadło
52.170749 21.0137 Szturmowa 2, 02-678 Warszawa
52.1502912 21.0061606 Poloneza 85b, 02-826 Warszawa
52.40944 20.94003 Polskiej Organizacji Wojskowej 11, 05-120 Legionowo
52.2159443 20.8889158 Połczyńska 109, 01-303 Warszawa
52.2171615 20.8815991 Połczyńska 118A, 01-304 Warszawa
52.2159955 20.8754887 Połczyńska 125, 01-303 Warszawa
53.055102 21.529678 Warszawska 45, 07-415 Olszewo-Borki
52.149445 20.809391 Ulica Kolejowa brak, 05-806 Komorów
52.539647 19.734128 Wyszogrodzka 103, 09-410 Płock
52.107028 21.017194 Puławska 558/560, 09-884 Warszawa
52.298342 21.029867 Toruńska 90, 03-226 Warszawa
52.184551 20.900587 Aleje Jerozolimskie 239, 02-495 Warszawa
52.229135 21.137829 Płowiecka 62, 04-510 Warszawa
52.1980803 20.6232468 Powstańców 18, 05-870 Błonie
52.2798055 21.1297734 Powstańców 25H, 05-091 Ząbki
52.209528 20.809333 Poznańska 151, 05-850 Ożarów Mazowiecki
52.209787 20.800922 Poznańska 177a, 05-850 Ożarów Mazowiecki
52.1853736 20.9959981 Konstruktorska 5A, 02-673 Warszawa
52.105485 21.098588 Prawdziwka 2, 02-973 Warszawa
52.275427 21.027165 Staniewicka 5, 02-781 Warszawa
52.230772 20.9802 Przyokopowa 31, 01-208 Warszawa
52.107089 20.833192 Aleja Katowicka 62, 05-830 Nadarzyn
52.1561406 21.0193615 Puławska 303, 02-785 Warszawa
52.1415187 21.0169698 Puławska 336, 02-819 Warszawa
52.08624 21.0207699 Puławska 42, 05-500 Piaseczno
52.51525 21.06983 Pułtuska 60, 05-140 Serock
52.62337082 20.37559974 Rynek Płońsk, pl. 15 Sierpnia -, 09-100 Płońsk
52.2024063 20.9551876 Włodarzewska 58, 02-384 Warszawa
52.187917 21.060267 Powsińska 31, 02-903 Warszawa
52.1845555 20.9579869 Sekundowa 1, 02-178 Warszawa
52.1841146 20.9591571 Sekundowa 1A, 02-178 Warszawa
52.1841299 20.9598953 Sekundowa 1b, 02-178 Warszawa
52.210861 20.448 Seroki Wieś -, 96-515 Teresin
52.23056 20.970035 Siedmiogrodzka 9, 01-204 Warszawa
52.239044 21.031092 Wybrzeże Kościuszkowskie 41, 00-347 Warszawa
52.239246 21.030837 Wybrzeże Kościuszkowskie 41, 00-347 Warszawa
52.856435 20.629063 Marcina Kasprzaka 5 _, 06-400 Ciechanów
52.56541057 19.69726448 Przemysłowa 21, 09-400 Płock
51.377374 21.131365 Wjazdowa 4, 26-600 Radom
52.224474 20.963867 Prądzyńskiego 16, 01-222 Warszawa
52.4091082 21.2038318 Słowackiego 58 -, 05-250 Radzymin
